"stage","metric","count"
"reconcile_global_local","total ASVs",1438
"reconcile_global_local","assigned ASVs",546
"reconcile_global_local","both DBs unassigned",892
"reconcile_global_local","best_pctid: local won",143
"reconcile_global_local","best_pctid: global won",403
"reconcile_global_local","global_lca_to_local triggered",45
"reconcile_global_local","Final: database = local",143
"reconcile_global_local","Final: database = global",358
"reconcile_global_local","Final: database = global_lca_to_local",45
"reconcile_global_local","ID'ed to kingdom only",0
"reconcile_global_local","ID'ed to phylum only",0
"reconcile_global_local","ID'ed to class only",95
"reconcile_global_local","ID'ed to order only",1
"reconcile_global_local","ID'ed to family only",10
"reconcile_global_local","ID'ed to genus only",125
"reconcile_global_local","ID'ed to species",410
"reconcile_checklist","total ASVs",1438
"reconcile_checklist","assigned before checklist-LCA",546
"reconcile_checklist","assigned after checklist-LCA",546
"reconcile_checklist","change in number of ASVs assigned",0
"reconcile_checklist","matched at species",295
"reconcile_checklist","matched at genus",231
"reconcile_checklist","matched at family",19
"reconcile_checklist","matched at order",1
"reconcile_checklist","matched at class",0
"reconcile_checklist","matched at phylum",0
"reconcile_checklist","matched at domain",0
"reconcile_checklist","not matched (off-target)",892
"reconcile_checklist","ID'ed to kingdom only",0
"reconcile_checklist","ID'ed to phylum only",0
"reconcile_checklist","ID'ed to class only",95
"reconcile_checklist","ID'ed to order only",1
"reconcile_checklist","ID'ed to family only",19
"reconcile_checklist","ID'ed to genus only",231
"reconcile_checklist","ID'ed to species",295
